page_number,review_status,normalized_character_count,review_flags
1,visually_spot_checked,213,
2,visually_spot_checked,1085,
3,auto_verified,1220,
4,auto_verified,798,
5,visually_spot_checked,939,
6,auto_verified,1107,
7,auto_verified,766,
8,auto_verified,1125,
9,auto_verified,1019,
10,auto_verified,882,
11,auto_verified,939,
12,auto_verified,272,
13,auto_verified,1009,
14,auto_verified,1335,
15,auto_verified,1159,
16,auto_verified,1056,
17,auto_verified,1036,
18,auto_verified,1147,
19,auto_verified,1148,
20,visually_spot_checked,1155,
21,auto_verified,1211,
22,auto_verified,1197,
23,auto_verified,1016,
24,auto_verified,1306,
25,auto_verified,1395,
26,auto_verified,1099,
27,auto_verified,1153,
28,auto_verified,914,
29,auto_verified,1065,
30,auto_verified,910,
31,auto_verified,912,
32,auto_verified,1098,
33,needs_manual_review,913,MATH_CONTENT
34,auto_verified,950,
35,auto_verified,722,
36,needs_manual_review,870,MATH_CONTENT
37,needs_manual_review,951,MATH_CONTENT
38,needs_manual_review,775,MATH_CONTENT
39,needs_manual_review,970,MATH_CONTENT
40,needs_manual_review,741,MATH_CONTENT
41,needs_manual_review,836,MATH_CONTENT
42,needs_manual_review,986,MATH_CONTENT
43,auto_verified,951,
44,auto_verified,1130,
45,auto_verified,1038,
46,auto_verified,1160,
47,auto_verified,638,
48,auto_verified,372,
49,auto_verified,922,
50,visually_spot_checked,802,
51,needs_manual_review,797,MATH_CONTENT
52,needs_manual_review,723,MATH_CONTENT
53,needs_manual_review,879,MATH_CONTENT
54,needs_manual_review,749,MATH_CONTENT
55,needs_manual_review,770,MATH_CONTENT
56,needs_manual_review,739,MATH_CONTENT
57,needs_manual_review,731,MATH_CONTENT
58,needs_manual_review,832,MATH_CONTENT
59,auto_verified,774,
60,needs_manual_review,969,MATH_CONTENT
61,auto_verified,2029,
62,needs_manual_review,764,MATH_CONTENT
63,auto_verified,497,
64,needs_manual_review,876,MATH_CONTENT
65,auto_verified,905,
66,needs_manual_review,889,MATH_CONTENT
67,needs_manual_review,1261,MATH_CONTENT
68,needs_manual_review,719,MATH_CONTENT
69,needs_manual_review,675,MATH_CONTENT
70,needs_manual_review,792,MATH_CONTENT
71,needs_manual_review,969,MATH_CONTENT
72,auto_verified,1085,
73,needs_manual_review,1081,MATH_CONTENT
74,needs_manual_review,544,MATH_CONTENT
75,auto_verified,875,
76,auto_verified,621,
77,auto_verified,911,
78,auto_verified,1067,
79,auto_verified,850,
80,needs_manual_review,722,MATH_CONTENT
81,needs_manual_review,952,MATH_CONTENT
82,needs_manual_review,873,MATH_CONTENT
83,needs_manual_review,744,MATH_CONTENT
84,needs_manual_review,756,MATH_CONTENT
85,needs_manual_review,748,MATH_CONTENT
86,auto_verified,1053,
87,auto_verified,1038,
88,auto_verified,650,
89,auto_verified,529,
90,visually_verified_blank,0,
91,needs_manual_review,880,MATH_CONTENT
92,auto_verified,986,
93,auto_verified,808,
94,auto_verified,1089,
95,auto_verified,869,
96,auto_verified,433,
97,auto_verified,240,
98,auto_verified,214,
99,auto_verified,210,
100,auto_verified,232,
101,auto_verified,136,
102,auto_verified,111,
103,auto_verified,104,
104,auto_verified,198,
105,auto_verified,223,
106,auto_verified,257,
107,auto_verified,98,
108,auto_verified,125,
109,auto_verified,306,
110,auto_verified,249,
111,auto_verified,262,
112,visually_verified_blank,0,
113,auto_verified,922,
114,auto_verified,1046,
115,auto_verified,1060,
116,needs_manual_review,1107,MATH_CONTENT
117,auto_verified,1036,
118,auto_verified,1019,
119,auto_verified,988,
120,auto_verified,1013,
121,auto_verified,979,
122,auto_verified,984,
123,auto_verified,1061,
124,auto_verified,1007,
125,auto_verified,989,
126,auto_verified,954,
127,auto_verified,987,
128,auto_verified,940,
129,auto_verified,1007,
130,auto_verified,1008,
131,auto_verified,362,
132,visually_verified_blank,0,
133,auto_verified,1566,
134,auto_verified,1698,
135,auto_verified,1767,
136,auto_verified,1754,
137,auto_verified,1892,
138,auto_verified,1800,
139,auto_verified,1734,
140,visually_spot_checked,1872,
141,auto_verified,1922,
142,auto_verified,1922,
143,auto_verified,896,
144,visually_verified_blank,0,
145,auto_verified,1694,
146,auto_verified,1642,
147,visually_spot_checked,49,
